layer,alpha_sd,n_rows,n_scenarios,delta_policy_score,delta_policy_score_low,delta_policy_score_high,abs_delta_fact_score_standardized,abs_delta_fact_score_standardized_low,abs_delta_fact_score_standardized_high,delta_residual_rms_ratio,delta_residual_rms_ratio_low,delta_residual_rms_ratio_high,output_kl,output_kl_low,output_kl_high,behavior_flip,behavior_flip_low,behavior_flip_high
43,2.0,16,2,-0.00390625,-0.0234375,0.015625,0.6748360618948936,0.6745883598923683,0.675083763897419,0.020855166600085795,0.020853358088061213,0.020856975112110376,3.558788071167385e-05,1.34264112485738e-05,5.7749350174773895e-05,0.0,0.0,0.0
43,4.0,16,2,-0.0234375,-0.0390625,-0.0078125,1.3442372977733612,1.3435594886541367,1.3449151068925858,0.04168681870214641,0.041686320677399635,0.04168731672689319,3.5870546449157104e-05,1.7763562878414518e-06,6.996473661047276e-05,0.0,0.0,0.0
43,8.0,16,2,-0.01171875,-0.0234375,0.0,2.677443251013756,2.67661651968956,2.6782699823379517,0.0833454430103302,0.08334002830088139,0.08335085771977901,6.600791043354093e-05,5.84748536027746e-05,7.354096726430726e-05,0.0,0.0,0.0
43,16.0,16,2,-0.01171875,-0.015625,-0.0078125,5.368009597063065,5.367148816585541,5.368870377540588,0.16670742444694042,0.1666934136301279,0.16672143526375294,6.45866105770665e-05,3.942473151141712e-05,8.974848964271587e-05,0.0,0.0,0.0
44,2.0,16,2,-0.00390625,-0.0078125,0.0,0.7203810065984726,0.7202682197093964,0.7204937934875488,0.022525785956531763,0.022521960781887174,0.022529611131176353,4.2801270109471545e-05,2.7569777779845595e-05,5.8032762439097496e-05,0.0,0.0,0.0
44,4.0,16,2,0.0234375,0.0078125,0.0390625,1.4438284412026405,1.4430506974458694,1.4446061849594116,0.045005991822108626,0.04500157944858074,0.04501040419563651,3.5795143022099296e-05,1.6523650742783502e-05,5.506663530141509e-05,0.0,0.0,0.0
44,8.0,16,2,0.02734375,0.0078125,0.046875,2.8949891924858093,2.8948386907577515,2.895139694213867,0.09000726696103811,0.09000157658010721,0.09001295734196901,4.2578915341096035e-05,9.846073737662664e-06,7.53117569445294e-05,0.0,0.0,0.0
44,16.0,16,2,0.0703125,0.0625,0.078125,5.777207553386688,5.776769399642944,5.777645707130432,0.17995773255825043,0.1799496579915285,0.17996580712497234,0.0001061870320882008,9.553087534186488e-05,0.0001168431888345367,0.0,0.0,0.0
45,2.0,16,2,-0.00390625,-0.0234375,0.015625,0.5875932388007641,0.5870563685894012,0.5881301090121269,0.022252773633226752,0.02225234708748758,0.022253200178965926,8.814096867926224e-06,1.774683554778278e-06,1.585351018107417e-05,0.0,0.0,0.0
45,4.0,16,2,-0.0078125,-0.0234375,0.0078125,1.1880714073777199,1.1878118813037872,1.1883309334516525,0.04447693703696132,0.044475238770246506,0.04447863530367613,2.8704665488987757e-05,2.834062316736663e-05,2.9068707810608885e-05,0.0,0.0,0.0
45,8.0,16,2,0.0078125,-0.0078125,0.0234375,2.368337720632553,2.367622435092926,2.36905300617218,0.08895469084382057,0.08894757926464081,0.08896180242300034,6.650273527952777e-05,5.96067426386071e-05,7.339872792044844e-05,0.0,0.0,0.0
45,16.0,16,2,0.02734375,0.015625,0.0390625,4.736054182052612,4.735189497470856,4.736918866634369,0.1778478091582656,0.17783438228070736,0.17786123603582382,7.131591326015041e-05,5.2097214961577265e-05,9.053461155872355e-05,0.0,0.0,0.0
46,2.0,16,2,0.0,-0.0078125,0.0078125,0.6382202282547951,0.6381982862949371,0.638242170214653,0.020734809571877122,0.02073346497491002,0.020736154168844223,8.850346758570993e-06,1.6793705128748115e-06,1.6021323004267174e-05,0.0,0.0,0.0
46,4.0,16,2,0.0078125,-0.0078125,0.0234375,1.2707487866282463,1.2705437391996384,1.2709538340568542,0.04142578737810254,0.04142414825037122,0.041427426505833864,4.127572559298187e-05,2.7162552129311734e-05,5.538889905665201e-05,0.0,0.0,0.0
46,8.0,16,2,0.05859375,0.0546875,0.0625,2.5367423593997955,2.536675214767456,2.536809504032135,0.08281538216397166,0.08280420303344727,0.08282656129449606,3.477358036008127e-05,9.680504788889266e-06,5.986665593127327e-05,0.0,0.0,0.0
46,16.0,16,2,0.09765625,0.0859375,0.109375,5.070915788412094,5.070025861263275,5.071805715560913,0.16558271553367376,0.16557154059410095,0.16559389047324657,6.808279903225412e-05,3.967606880905805e-05,9.648952925545018e-05,0.0,0.0,0.0
47,2.0,16,2,0.01171875,0.0078125,0.015625,0.5068040676414967,0.5067524760961533,0.5068556591868401,0.020173175260424614,0.02015235391445458,0.02019399660639465,4.7927765363553476e-05,1.6946021943908818e-05,7.890950878319813e-05,0.0,0.0,0.0
47,4.0,16,2,0.01953125,-0.0078125,0.046875,1.009684294462204,1.009680688381195,1.009687900543213,0.04027032549493015,0.04022696428000927,0.04031368670985103,1.3873326604851854e-05,1.2258877063686668e-05,1.548777614601704e-05,0.0,0.0,0.0
47,8.0,16,2,0.0625,0.046875,0.078125,2.0300542265176773,2.0297940969467163,2.0303143560886383,0.08050528494641185,0.08041150029748678,0.08059906959533691,3.6029064091280816e-05,1.0476207364717993e-05,6.158192081784364e-05,0.0,0.0,0.0
47,16.0,16,2,0.1015625,0.1015625,0.1015625,4.055066794157028,4.054856479167938,4.055277109146118,0.16102464217692614,0.16085299290716648,0.1611962914466858,6.229763795317922e-05,4.0222174447990255e-05,8.437310145836818e-05,0.0,0.0,0.0
