intervention_type,direction_name,target_policy,alpha_sd,n_rows,n_scenarios,delta_policy_score,delta_policy_score_low,delta_policy_score_high,abs_delta_fact_score_standardized,abs_delta_fact_score_standardized_low,abs_delta_fact_score_standardized_high,delta_residual_rms_ratio,delta_residual_rms_ratio_low,delta_residual_rms_ratio_high,output_kl,output_kl_low,output_kl_high,behavior_flip,behavior_flip_low,behavior_flip_high
ablate,policy_conceal_minus_reveal,remove_policy_coordinate,,48,6,0.0026041616996129355,-0.011718754967053732,0.015624995032946268,0.22601634052686373,0.22450637728131065,0.22825911964355328,0.008695459201679986,0.008643121655040886,0.008778553906357919,2.5125855844724636e-05,1.5105774717971698e-05,4.37197546889756e-05,0.0,0.0,0.0
direct_answer,direct_A,literal_A,16.0,48,6,-0.13671875496705374,-0.15885416666666666,-0.11197918156782787,14.542758703231812,14.542418777942657,14.543073077996572,0.15676570404320955,0.1565982454145948,0.15692957739035288,0.00014313952478535916,0.0001345875936825299,0.00015411344482648323,0.0,0.0,0.0
direct_answer,direct_B,literal_B,16.0,48,6,-0.0885416716337204,-0.09635418156782787,-0.078125,3.391530026992162,3.391317347685496,3.3917621026436486,0.1568265287205577,0.15665633976459503,0.15699557308107615,0.0002139049022010416,0.0002053345000376794,0.00022508080985517154,0.0,0.0,0.0
direct_fact,empirical_fact_A_minus_B,fact_A,16.0,48,6,0.109375,0.07161458333333333,0.15364583333333334,0.8413903526961803,0.8410162615279356,0.8417553802331289,0.15678758981327215,0.1566217349221309,0.15695578356583914,0.0020832048899232327,0.0015167713640475238,0.0029315081085125407,0.0,0.0,0.0
lexical,lexical_control,control,16.0,48,6,-0.028645823399225872,-0.05078125,-0.002604136864344279,7.088890830675761,7.088422665993373,7.089235593875249,0.1567992294828097,0.15662825604279837,0.15696616688122353,8.808819736572104e-05,7.245607328580188e-05,0.0001062436665577593,0.0,0.0,0.0
random,random_0,control,16.0,48,6,-0.010416666666666666,-0.024739583333333332,0.005208333333333333,0.09070064437886079,0.09029523407419522,0.09113385590414207,0.15678352179626623,0.15661479098101458,0.15694968060900769,0.0001092834269537472,7.949892777977159e-05,0.00013806096883210253,0.0,0.0,0.0
random,random_1,control,16.0,48,6,0.036458333333333336,0.020833333333333332,0.046875,0.23563066497445107,0.23526758638521036,0.23609460579852262,0.15676208306103945,0.15661585362007222,0.1569296531379223,0.00013845886766953677,0.00012026855080904397,0.00016560679185317895,0.0,0.0,0.0
steer,policy_conceal_minus_reveal,conceal,16.0,48,6,0.09114583333333333,0.0859375,0.1015625,4.10707147916158,4.106573339303334,4.1073702573776245,0.15679787968595824,0.15665223430842162,0.15696433590104183,8.12473627907669e-05,6.084032874772068e-05,9.927980608874047e-05,0.0,0.0,0.0
steer,policy_conceal_minus_reveal,reveal,-16.0,48,6,-0.1158854067325592,-0.13151038686434427,-0.09635416666666667,4.106577803691228,4.105815301338832,4.107701440652211,0.15679169973979393,0.15662118016431728,0.1569626626248161,0.00014095665558026363,0.00010078001713509366,0.00021537219541301056,0.0,0.0,0.0
swap,reveal_conceal_coordinate_swap,swap_policy_coordinates,,48,6,0.010416661699612936,-0.0013020833333333333,0.022135401765505474,0.46598974413548905,0.46014121438687045,0.4718375173397362,0.017119367893125553,0.016923586813694175,0.01728643715614453,1.830350125990125e-05,4.4884763041134574e-06,3.804061196036971e-05,0.0,0.0,0.0
unrelated,unrelated_control,control,16.0,48,6,-0.04687499006589254,-0.061197916666666664,-0.031249980131785076,1.6412069449822109,1.6407643283406894,1.6417492528756459,0.15684572327882051,0.15667950548231602,0.15701198298484087,3.3861653654080705e-05,1.815628319453329e-05,4.984304070513682e-05,0.0,0.0,0.0
