split,policy_style,world_state,policy,n_rows,n_scenarios,accuracy,accuracy_low,accuracy_high,margin,margin_low,margin_high
discovery,explicit,A,conceal,12,12,1.0,1.0,1.0,2.5104166762903333,2.270833351928741,2.729166648358417
discovery,explicit,A,reveal,12,12,1.0,1.0,1.0,6.531249975899603,5.583072853362561,7.666666542715757
discovery,explicit,B,conceal,12,12,0.4166666666666667,0.16666666666666666,0.6666666666666666,-0.2708333308498065,-0.4687499950329463,-0.08333333333333333
discovery,explicit,B,reveal,12,12,1.0,1.0,1.0,2.510416676135113,1.9166666924138553,3.19791664465641
discovery,indirect,A,conceal,12,12,0.0,0.0,0.0,-2.4791666643383605,-2.875000006860743,-2.1145833224601422
discovery,indirect,A,reveal,12,12,1.0,1.0,1.0,5.270833336175808,4.343750071824858,6.3020832661602375
discovery,indirect,B,conceal,12,12,0.6666666666666666,0.4166666666666667,0.9166666666666666,0.02083333084980642,-0.26041668156782793,0.27083333830038697
discovery,indirect,B,reveal,12,12,1.0,1.0,1.0,1.3333333552194142,0.8333333500505737,1.9166667061586244
test,explicit,A,conceal,4,4,1.0,1.0,1.0,2.6874999422580004,2.5624999050050974,2.8125000000000004
test,explicit,A,reveal,4,4,1.0,1.0,1.0,5.031250008381903,4.687500070664101,5.249999877531081
test,explicit,B,conceal,4,4,0.0,0.0,0.0,-0.78125,-0.8749999701976776,-0.687500007450581
test,explicit,B,reveal,4,4,1.0,1.0,1.0,3.000000041443855,2.250000063329935,3.750000019557775
test,indirect,A,conceal,4,4,0.0,0.0,0.0,-1.6875000279396772,-2.0000000484287734,-1.375000007450581
test,indirect,A,reveal,4,4,1.0,1.0,1.0,3.500000004656613,2.656249954830855,4.0937501047737905
test,indirect,B,conceal,4,4,0.0,0.0,0.0,-0.687499985098839,-1.062499970197678,-0.31250000000000006
test,indirect,B,reveal,4,4,1.0,1.0,1.0,2.593750009778887,1.562499932944775,3.625000086613
validation,explicit,A,conceal,8,8,1.0,1.0,1.0,1.6406250055879354,1.296875013038516,1.968750026077032
validation,explicit,A,reveal,8,8,1.0,1.0,1.0,3.562499953201041,3.0781249525316534,4.07812490213837
validation,explicit,B,conceal,8,8,0.125,0.0,0.375,-0.703125013038516,-1.0312500168103724,-0.3593750074505806
validation,explicit,B,reveal,8,8,0.875,0.625,1.0,1.3125000069849193,0.5625000144354999,2.1250000338302923
validation,indirect,A,conceal,8,8,0.0,0.0,0.0,-0.9687499776482581,-1.0312499813735485,-0.9062499850988387
validation,indirect,A,reveal,8,8,1.0,1.0,1.0,2.6718750004656613,2.2343749943189324,3.125000016298145
validation,indirect,B,conceal,8,8,0.75,0.375,1.0,0.09374999627470976,-0.17187501117587073,0.328125
validation,indirect,B,reveal,8,8,0.625,0.25,0.875,0.6406250018626451,-0.015624992549419292,1.3910156449302975
