split,policy_style,world_state,policy,n_rows,n_scenarios,accuracy,accuracy_low,accuracy_high,margin,margin_low,margin_high
discovery,explicit,A,conceal,12,12,1.0,1.0,1.0,2.562499982615312,2.3854166548233477,2.749999977958699
discovery,explicit,A,reveal,12,12,1.0,1.0,1.0,5.697916726911596,5.520833343431392,5.906250025884947
discovery,explicit,B,conceal,12,12,0.08333333333333333,0.0,0.25,-0.47916666915019346,-0.6458333407839136,-0.2914062404384254
discovery,explicit,B,reveal,12,12,1.0,1.0,1.0,4.458333339774981,4.291666690797623,4.614583240267044
discovery,indirect,A,conceal,12,12,0.0,0.0,0.0,-1.125000008692344,-1.2916666568256916,-0.9479167013739546
discovery,indirect,A,reveal,12,12,1.0,1.0,1.0,4.156250024369608,3.8229167360016927,4.47916669054733
discovery,indirect,B,conceal,12,12,0.0,0.0,0.0,-1.6979166598369677,-1.8854166654714692,-1.4999999713463092
discovery,indirect,B,reveal,12,12,1.0,1.0,1.0,3.614583323787277,3.343750018933012,3.8854166523398215
test,explicit,A,conceal,4,4,1.0,1.0,1.0,2.593750011175871,2.4375000186264515,2.7812499534338713
test,explicit,A,reveal,4,4,1.0,1.0,1.0,4.343750030035153,4.187499908031896,4.468750045169146
test,explicit,B,conceal,4,4,0.0,0.0,0.0,-0.6874999925494192,-0.8124999999999994,-0.562499985098839
test,explicit,B,reveal,4,4,1.0,1.0,1.0,5.250000155472662,4.875000183470547,5.687500132306014
test,indirect,A,conceal,4,4,0.0,0.0,0.0,-0.9062500372529032,-1.062500037252903,-0.781250059604645
test,indirect,A,reveal,4,4,1.0,1.0,1.0,3.7812499853316694,3.5312500088475645,4.18749992758967
test,indirect,B,conceal,4,4,0.0,0.0,0.0,-2.9062500167638063,-3.1562500204890966,-2.687500052154064
test,indirect,B,reveal,4,4,1.0,1.0,1.0,4.624999908963219,4.281249820953236,4.968749996274711
validation,explicit,A,conceal,8,8,1.0,1.0,1.0,2.046875008381903,1.921875034458936,2.171874977648258
validation,explicit,A,reveal,8,8,1.0,1.0,1.0,4.609374991734512,3.9996093475187084,5.234374953026418
validation,explicit,B,conceal,8,8,0.0,0.0,0.0,-0.7656250111758708,-0.8906249851919711,-0.6562500111758709
validation,explicit,B,reveal,8,8,1.0,1.0,1.0,4.312499997322448,3.843750027153874,4.812499891337938
validation,indirect,A,conceal,8,8,0.0,0.0,0.0,-0.9531249999999999,-1.1718749850988384,-0.7500000074505806
validation,indirect,A,reveal,8,8,1.0,1.0,1.0,3.6406249755527824,3.2968750132480635,3.9999998920597135
validation,indirect,B,conceal,8,8,0.0,0.0,0.0,-1.9531249981373553,-2.249999965541065,-1.6562499953201042
validation,indirect,B,reveal,8,8,1.0,1.0,1.0,3.671875062631443,3.0937501075677583,4.250000064371852
