split,policy_style,world_state,policy,n_rows,n_scenarios,accuracy,accuracy_low,accuracy_high,margin,margin_low,margin_high
discovery,explicit,A,conceal,12,12,1.0,1.0,1.0,3.4062499860301614,3.072916676007056,3.6979166165925563
discovery,explicit,A,reveal,12,12,1.0,1.0,1.0,3.5833333198291566,3.3229166661738425,3.8333332844854646
discovery,explicit,B,conceal,12,12,1.0,1.0,1.0,2.0104166561116776,1.8541666716337204,2.166666630655527
discovery,explicit,B,reveal,12,12,0.8333333333333334,0.5833333333333334,1.0,0.8958333215365809,0.5416666523242991,1.2812499696388842
discovery,indirect,A,conceal,12,12,1.0,1.0,1.0,2.4687499906867743,2.239583340768392,2.6666666443770133
discovery,indirect,A,reveal,12,12,1.0,1.0,1.0,3.5208333294528225,3.4166666663445846,3.624999995219211
discovery,indirect,B,conceal,12,12,1.0,1.0,1.0,0.5833333358168604,0.40624999254941957,0.7708333507180215
discovery,indirect,B,reveal,12,12,0.75,0.5,1.0,0.3229166815678279,0.1458333383003871,0.5208333631356559
test,explicit,A,conceal,4,4,1.0,1.0,1.0,3.5312499962747097,3.343750042375177,3.6875000130385165
test,explicit,A,reveal,4,4,1.0,1.0,1.0,3.187500039115548,2.6250000605359674,3.5624999729916453
test,explicit,B,conceal,4,4,1.0,1.0,1.0,1.3749999776482582,1.124999970197677,1.562500007450581
test,explicit,B,reveal,4,4,1.0,1.0,1.0,2.0937500186264515,1.7812500428408387,2.312500050291419
test,indirect,A,conceal,4,4,1.0,1.0,1.0,2.2812500204890966,2.0625001005828385,2.531249949708581
test,indirect,A,reveal,4,4,1.0,1.0,1.0,2.6875000633299355,2.5000000745058064,2.875000052154064
test,indirect,B,conceal,4,4,0.25,0.0,0.75,-0.18750000000000003,-0.3125,-0.0625
test,indirect,B,reveal,4,4,1.0,1.0,1.0,0.8749999925494192,0.6874999701976774,1.062500014901161
validation,explicit,A,conceal,8,8,1.0,1.0,1.0,2.4531249939464033,2.0937499799532815,2.828124973922968
validation,explicit,A,reveal,8,8,1.0,1.0,1.0,2.437500022351742,1.7812500246567655,3.1249999942141584
validation,explicit,B,conceal,8,8,1.0,1.0,1.0,1.4218750055879354,1.2343750092666594,1.6249999890103943
validation,explicit,B,reveal,8,8,0.875,0.625,1.0,1.0312499869614837,0.6093749944120644,1.4218749701976776
validation,indirect,A,conceal,8,8,1.0,1.0,1.0,1.984374991618097,1.8281249869614842,2.1406249516643583
validation,indirect,A,reveal,8,8,1.0,1.0,1.0,3.1250000165309757,2.8124999934574597,3.4375000472646207
validation,indirect,B,conceal,8,8,0.5,0.125,0.875,-0.07812500000000001,-0.15625000000000006,0.0
validation,indirect,B,reveal,8,8,1.0,1.0,1.0,0.3906250000000002,0.28125000000000017,0.5000000074505809
