artifact,configuration_id,layers,median_condition_number,high_cosine_fraction,maximum_absolute_cosine
controls,control_direct_answer_direction,[34],2.000462532043457,0.0,0.787182927131652
controls,control_identity_source_source,[34],1.0,1.0,1.0
controls,control_norm_matched_random_basis,[34],1.000000119209289,0.0,1.862645149230957e-09
controls,control_out_of_window_layer,[20],2.856664896011352,0.0,0.792155504226684
controls,control_unrelated_same_category,[34],2.200590848922729,0.0,0.6704385280609131
coordinate_trajectories,operation_donor_coordinate_patch,[34],2.07620620727539,0.0,0.6704385280609131
coordinate_trajectories,operation_pseudoinverse_coordinate_swap,[34],2.07620620727539,0.0,0.6704385280609131
coordinate_trajectories,operation_source_suppression_target_installation,[34],2.07620620727539,0.0,0.6704385280609131
cumulative_layers,layers_36_37_38_39,"[36, 37, 38, 39]",1.856811881065368,0.0,0.625970244407653
cumulative_layers,layers_36_37_38_39_40,"[36, 37, 38, 39, 40]",1.7953482866287231,0.0,0.625970244407653
cumulative_layers,layers_36_37_38_39_40_41,"[36, 37, 38, 39, 40, 41]",1.7953482866287231,0.0,0.625970244407653
cumulative_layers,layers_36_37_38_39_40_41_42,"[36, 37, 38, 39, 40, 41, 42]",1.7489029169082642,0.0,0.625970244407653
cumulative_layers,layers_36_37_38_39_40_41_42_43,"[36, 37, 38, 39, 40, 41, 42, 43]",1.7489029169082642,0.0,0.625970244407653
cumulative_layers,layers_36_38_40_42,"[36, 38, 40, 42]",1.7953482866287231,0.0,0.625970244407653
cumulative_layers,layers_37_39_41_43,"[37, 39, 41, 43]",1.7489029169082642,0.0,0.607144355773925
cumulative_layers,layers_38_39_40_41,"[38, 39, 40, 41]",1.7489029169082642,0.0,0.588131785392761
cumulative_layers,layers_39_40_41,"[39, 40, 41]",1.637488722801208,0.0,0.5625426173210141
cumulative_layers,layers_40,[40],1.637488722801208,0.0,0.529918313026428
cumulative_layers,layers_40_41,"[40, 41]",1.637488722801208,0.0,0.529918313026428
cumulative_layers,layers_40_41_42_43,"[40, 41, 42, 43]",1.628148436546325,0.0,0.529918313026428
cumulative_layers,layers_41_42_43,"[41, 42, 43]",1.620604395866394,0.0,0.522739887237548
cumulative_layers,layers_42_43,"[42, 43]",1.620604395866394,0.0,0.509735107421875
cumulative_layers,layers_43,[43],1.620604395866394,0.0,0.509735107421875
layer_sweep,layer_28,[28],2.6705975532531743,0.0,0.7733210325241081
layer_sweep,layer_29,[29],2.6991147994995113,0.0,0.7778326272964471
layer_sweep,layer_30,[30],2.755695104598999,0.0,0.7876098155975341
layer_sweep,layer_31,[31],2.866931438446045,0.0,0.8007908463478081
layer_sweep,layer_32,[32],2.734405755996704,0.0,0.7866466641426081
layer_sweep,layer_33,[33],2.227025032043457,0.0,0.7041747570037841
layer_sweep,layer_34,[34],2.07620620727539,0.0,0.6704385280609131
layer_sweep,layer_35,[35],1.982486009597778,0.0,0.6486684083938591
layer_sweep,layer_36,[36],1.9342367649078371,0.0,0.625970244407653
layer_sweep,layer_37,[37],1.856811881065368,0.0,0.607144355773925
layer_sweep,layer_38,[38],1.7953482866287231,0.0,0.588131785392761
layer_sweep,layer_39,[39],1.7489029169082642,0.0,0.5625426173210141
layer_sweep,layer_40,[40],1.637488722801208,0.0,0.529918313026428
layer_sweep,layer_41,[41],1.628148436546325,0.0,0.522739887237548
layer_sweep,layer_42,[42],1.6027100086212152,0.0,0.506779193878173
layer_sweep,layer_43,[43],1.620604395866394,0.0,0.509735107421875
layer_sweep,layer_44,[44],1.6398452520370481,0.0,0.519355297088623
layer_sweep,layer_45,[45],1.612765789031982,0.0,0.505016028881073
layer_sweep,layer_46,[46],1.569211721420288,0.0,0.483028918504714
layer_sweep,layer_47,[47],1.5701541900634761,0.0,0.48116219043731606
layer_sweep,layer_48,[48],1.593464374542236,0.0,0.49493795633316
layer_sweep,layer_49,[49],1.584265947341919,0.0,0.49699383974075306
layer_sweep,layer_50,[50],1.5529416799545281,0.0,0.480912387371063
layer_sweep,layer_51,[51],1.510724544525146,0.0,0.45010143518447804
layer_sweep,layer_52,[52],1.5450682640075681,0.0,0.48352444171905506
position_sweep,layer_32__all_prompt_positions,[32],2.734405755996704,0.0,0.7866466641426081
position_sweep,layer_32__argument_through_end,[32],2.734405755996704,0.0,0.7866466641426081
position_sweep,layer_32__argument_token_position,[32],2.734405755996704,0.0,0.7866466641426081
position_sweep,layer_32__final_prompt_position,[32],2.734405755996704,0.0,0.7866466641426081
position_sweep,layer_33__all_prompt_positions,[33],2.227025032043457,0.0,0.7041747570037841
position_sweep,layer_33__argument_through_end,[33],2.227025032043457,0.0,0.7041747570037841
position_sweep,layer_33__argument_token_position,[33],2.227025032043457,0.0,0.7041747570037841
position_sweep,layer_33__final_prompt_position,[33],2.227025032043457,0.0,0.7041747570037841
position_sweep,layer_34__all_prompt_positions,[34],2.07620620727539,0.0,0.6704385280609131
position_sweep,layer_34__argument_through_end,[34],2.07620620727539,0.0,0.6704385280609131
position_sweep,layer_34__argument_token_position,[34],2.07620620727539,0.0,0.6704385280609131
position_sweep,layer_34__final_prompt_position,[34],2.07620620727539,0.0,0.6704385280609131
strength_sweep,layer_32__all_prompt_positions__alpha_0.25,[32],2.734405755996704,0.0,0.7866466641426081
strength_sweep,layer_32__all_prompt_positions__alpha_0.5,[32],2.734405755996704,0.0,0.7866466641426081
strength_sweep,layer_32__all_prompt_positions__alpha_1,[32],2.734405755996704,0.0,0.7866466641426081
strength_sweep,layer_32__all_prompt_positions__alpha_1.5,[32],2.734405755996704,0.0,0.7866466641426081
strength_sweep,layer_32__all_prompt_positions__alpha_2,[32],2.734405755996704,0.0,0.7866466641426081
strength_sweep,layer_34__all_prompt_positions__alpha_0.25,[34],2.07620620727539,0.0,0.6704385280609131
strength_sweep,layer_34__all_prompt_positions__alpha_0.5,[34],2.07620620727539,0.0,0.6704385280609131
strength_sweep,layer_34__all_prompt_positions__alpha_1,[34],2.07620620727539,0.0,0.6704385280609131
strength_sweep,layer_34__all_prompt_positions__alpha_1.5,[34],2.07620620727539,0.0,0.6704385280609131
strength_sweep,layer_34__all_prompt_positions__alpha_2,[34],2.07620620727539,0.0,0.6704385280609131
strength_sweep,layer_34__argument_through_end__alpha_0.25,[34],2.07620620727539,0.0,0.6704385280609131
strength_sweep,layer_34__argument_through_end__alpha_0.5,[34],2.07620620727539,0.0,0.6704385280609131
strength_sweep,layer_34__argument_through_end__alpha_1,[34],2.07620620727539,0.0,0.6704385280609131
strength_sweep,layer_34__argument_through_end__alpha_1.5,[34],2.07620620727539,0.0,0.6704385280609131
strength_sweep,layer_34__argument_through_end__alpha_2,[34],2.07620620727539,0.0,0.6704385280609131
