measurement_layer,median_clipped_reconstruction_fraction,mean_reconstruction_fraction,n
34,9.479203180458664e-05,-0.05551893797910349,33
35,0.09796209031413901,0.028657711974486823,33
36,0.1795833156822,0.12003997273964352,33
37,0.211193041432563,0.15386021675208428,33
38,0.23667192149616903,0.17991375329368767,33
39,0.31965921788056,0.29026844187572337,33
40,0.40963124334812,0.35992679533422867,33
41,0.43363498724742905,0.41808311193027786,33
42,0.417713743293453,0.4216066448318758,33
43,0.425063405885689,0.4165892885475038,33
44,0.46266070517310903,0.41618364856972045,33
45,0.46888200213430503,0.41987390687867565,33
46,0.42839251272676504,0.41734393306367235,33
47,0.48082839533627003,0.4227586721092292,33
48,0.47570772504238,0.4482889716659022,33
49,0.512856585514442,0.4741563854517114,33
50,0.5329778307230141,0.47852846825528966,33
51,0.5662052456835961,0.49832105756323714,33
52,0.5651180293031991,0.528189608201586,33
53,0.57510599089683,0.5522486242053068,33
54,0.5971028729404311,0.5645613456893045,33
55,0.6785290164652541,0.6101747507724351,33
56,0.709730524922576,0.6845292925878355,33
57,0.7465034962324111,0.7023973649001377,33
58,0.738389026527629,0.7180300716817697,33
59,0.717889159796791,0.6966486391115781,33
60,0.7201138097637301,0.6910688767893227,33
61,0.688751743228564,0.6395681511558852,33
62,0.6468935978281181,0.604839036124791,33
