substage,split,policy_id,layer,K,Q,M,D,logit_lens_K,logit_lens_M
1A,locked_test,M,36,0.056077533298068576,0.1829447004530165,0.1829447004530165,-0.12686716715494792,0.05641695658365885,0.10172657436794703
1A,locked_test,M,37,0.044067721896701384,0.18699713812934027,0.18699713812934027,-0.14292941623263886,0.052957789103190114,0.09639379713270399
1A,locked_test,M,38,0.03264092339409722,0.18811509874131943,0.18811509874131943,-0.15547417534722222,0.035391743977864584,0.09118398030598958
1A,locked_test,M,39,-0.16236707899305552,0.7289740668402778,0.7289740668402778,-0.8913411458333333,-0.03822398715549045,0.284172354804145
1A,locked_test,M,40,-0.18604532877604163,0.7710293240017362,0.7710293240017362,-0.9570746527777777,-0.05628047519259983,0.2623072730170356
1A,locked_test,M,41,-0.2638129340277778,0.8470811631944445,0.8470811631944445,-1.110894097222222,-0.09640282524956596,0.28729637993706597
1A,locked_test,M,42,-0.2580295138888889,0.8289496527777778,0.8289496527777778,-1.0869791666666666,-0.06228290134006075,0.2550307379828559
1A,locked_test,M,43,-0.1255533854166667,0.6771375868055556,0.6771375868055556,-0.8026909722222223,-0.02298545837402345,0.163691160413954
1A,locked_test,T,36,0.1881980895996094,0.1881980895996094,-0.06104609171549479,0.0,0.17576836480034722,-0.06887681749131944
1A,locked_test,T,37,0.17771817313300237,0.17771817313300237,-0.05674011442396377,0.0,0.15762560102674694,-0.06428729163275824
1A,locked_test,T,38,0.15726453993055556,0.15726453993055556,-0.04972330729166667,0.0,0.13936500549316405,-0.055583148532443574
1A,locked_test,T,39,0.5018385145399306,0.5018385145399306,-0.15692206488715277,0.0,0.288075680202908,-0.08701892428927953
1A,locked_test,T,40,0.5044189453125,0.5044189453125,-0.1541531032986111,0.0,0.2531429926554362,-0.07711552513970268
1A,locked_test,T,41,0.508626980251736,0.508626980251736,-0.16313951280381947,0.0,0.21576580471462672,-0.07098651462131075
1A,locked_test,T,42,0.5101453993055556,0.5101453993055556,-0.16324869791666669,0.0,0.1958969328138563,-0.05794497595893012
1A,locked_test,T,43,0.5457899305555556,0.5457899305555556,-0.16497395833333334,0.0,0.20586264663272436,-0.0650615612665812
1B,locked_test,M,36,0.021490308973524296,0.05830874972873264,0.05830874972873264,-0.03681844075520835,0.02739410400390625,0.032517327202690974
1B,locked_test,M,37,0.01994289822048612,0.060087754991319464,0.060087754991319464,-0.04014485677083335,0.02212380303276911,0.03362994723849826
1B,locked_test,M,38,0.017166593339708137,0.057558303409152564,0.057558303409152564,-0.04039171006944443,0.018343183729383688,0.026011912027994792
1B,locked_test,M,39,-0.032215711805555554,0.38672960069444445,0.38672960069444445,-0.4189453125,-0.003442125850253624,0.13794179757436117
1B,locked_test,M,40,-0.04766438802083331,0.3995144314236111,0.3995144314236111,-0.44717881944444443,-0.013154729207356771,0.12902005513509116
1B,locked_test,M,41,-0.06966959635416665,0.4211724175347222,0.4211724175347222,-0.4908420138888889,-0.02165827221340603,0.13492246203952366
1B,locked_test,M,42,-0.06227213541666665,0.3949327256944445,0.3949327256944445,-0.4572048611111111,-0.016721598307291675,0.12273288302951388
1B,locked_test,M,43,0.01613498263888891,0.32594401041666665,0.32594401041666665,-0.3098090277777778,0.018598344590928812,0.06987194485134547
1B,locked_test,T,36,0.04710693359375,0.04710693359375,-0.009495713975694448,0.0,0.06606207953559026,-0.024241468641493062
1B,locked_test,T,37,0.05178820292154949,0.05178820292154949,-0.009119457668728287,0.0,0.06477305094401042,-0.024216206868489597
1B,locked_test,T,38,0.04743787977430558,0.04743787977430558,-0.008709038628472228,0.0,0.0584165785047743,-0.021758863661024308
1B,locked_test,T,39,0.06712239583333335,0.06712239583333335,-0.008181423611111108,0.0,0.06687282986111111,-0.01840955946180555
1B,locked_test,T,40,0.07176649305555553,0.07176649305555553,-0.010091145833333318,0.0,0.07044338650173612,-0.020275200737847207
1B,locked_test,T,41,0.07176649305555553,0.07176649305555553,-0.01304253472222222,0.0,0.05371825430128311,-0.012546936670939113
1B,locked_test,T,42,0.0760091145833333,0.0760091145833333,-0.014789496527777762,0.0,0.062326049804687506,-0.015309312608506941
1B,locked_test,T,43,0.12279730902777777,0.12279730902777777,-0.024728732638888893,0.0,0.09053993225097655,-0.03917401631673177
