substage,estimand,point,ci_95_low,ci_95_high
1A,transformed_band_K,-0.10787775781419541,-0.14205354584587945,-0.07331258707576332
1A,report_preparation_delta_M,0.672646947701772,0.6175524455971187,0.7293406235840586
1A,state_policy_delta_K,-0.4946278293927511,-0.5495830680926641,-0.4458547284868028
1A,state_report_interaction,1.167274777094523,1.066679533984926,1.2672605338361524
1A,transformed_logit_lens_K,-0.0164261447058783,-0.041157856451140486,0.00851860582828521
1A,transformed_output_K,-1.6633680555555557,-1.9991493055555556,-1.3530555555555561
1B,transformed_band_K,-0.01713588105307684,-0.043012476563453694,0.008108300533559527
1B,report_preparation_delta_M,0.27530069218741526,0.2067033217350642,0.3513325745198461
1B,state_policy_delta_K,-0.08661023378372192,-0.12742611987723243,-0.046176450749238346
1B,state_report_interaction,0.36191092597113717,0.2557840877109103,0.47442374971177825
1B,transformed_logit_lens_K,0.0039353387223349506,-0.011084491064151117,0.01724116755028568
1B,transformed_output_K,-0.6164930555555557,-0.9451475694444447,-0.2947743055555558
