condition_id,matched_group_id,game,split,private_state,belief,objective,value_margin,strategy,expected_action,top1_text,formatting_compliant,correct,legal_choice,legal_choice_correct,regret,output_entropy,chosen_probability
chameleon-loc-0fb6f5844bb9,chameleon-locked_replication-03,chameleon,locked_replication,insider:violin,0.6,1.0,0.35,balanced_clue,B,B,True,True,B,True,0.0,0.30875471465266985,0.9259826147538663
chameleon-loc-185c35f65f94,chameleon-locked_replication-02,chameleon,locked_replication,chameleon:unknown,0.25,0.0,0.24999999999999994,concealing_clue,A,B,True,False,B,False,0.24999999999999994,0.7084049850098988,0.7638782030346773
chameleon-loc-1dd7f2460c25,chameleon-locked_replication-05,chameleon,locked_replication,chameleon:unknown,0.25,0.0,0.24999999999999994,concealing_clue,A,B,True,False,B,False,0.24999999999999994,1.0087352595505807,0.49703224526787426
chameleon-loc-26793cc197e1,chameleon-locked_replication-01,chameleon,locked_replication,chameleon:unknown,0.25,0.0,0.24999999999999994,concealing_clue,A,B,True,False,B,False,0.24999999999999994,1.0087352595505807,0.49703224526787426
chameleon-loc-582aae3f781c,chameleon-locked_replication-03,chameleon,locked_replication,chameleon:unknown,0.25,0.0,0.24999999999999994,concealing_clue,A,B,True,False,B,False,0.24999999999999994,1.0087352595505807,0.49703224526787426
chameleon-loc-7e9c472f5cce,chameleon-locked_replication-04,chameleon,locked_replication,insider:volcano,0.6,1.0,0.35,balanced_clue,B,A,True,False,A,False,0.4,0.9414334059862938,0.5061465007856055
chameleon-loc-8655d3a10429,chameleon-locked_replication-00,chameleon,locked_replication,insider:volcano,0.6,1.0,0.35,balanced_clue,B,A,True,False,A,False,0.4,0.9414334059862938,0.5061465007856055
chameleon-loc-89c102b10ada,chameleon-locked_replication-02,chameleon,locked_replication,insider:volcano,0.6,1.0,0.35,balanced_clue,B,A,True,False,A,False,0.4,0.9414334059862938,0.5061465007856055
chameleon-loc-b40e73d99c9c,chameleon-locked_replication-04,chameleon,locked_replication,chameleon:unknown,0.25,0.0,0.24999999999999994,concealing_clue,A,B,True,False,B,False,0.24999999999999994,0.7084049850098988,0.7638782030346773
chameleon-loc-ccf7ca7173ab,chameleon-locked_replication-00,chameleon,locked_replication,chameleon:unknown,0.25,0.0,0.24999999999999994,concealing_clue,A,B,True,False,B,False,0.24999999999999994,0.7084049850098988,0.7638782030346773
chameleon-loc-d32e18d70d09,chameleon-locked_replication-01,chameleon,locked_replication,insider:violin,0.6,1.0,0.35,balanced_clue,B,B,True,True,B,True,0.0,0.30875471465266985,0.9259826147538663
chameleon-loc-e78d0e8677f0,chameleon-locked_replication-05,chameleon,locked_replication,insider:violin,0.6,1.0,0.35,balanced_clue,B,B,True,True,B,True,0.0,0.30875471465266985,0.9259826147538663
cheap_talk-loc-0003f8b3dab6,cheap_talk-locked_replication-00,cheap_talk,locked_replication,0,0.0,0.0,6.25,aligned_message,A,A,True,True,A,True,0.0,0.2267869638616805,0.9515184983662713
cheap_talk-loc-00690d50ed2e,cheap_talk-locked_replication-02,cheap_talk,locked_replication,2,0.5,0.0,6.25,influence_message,A,A,True,True,A,True,0.0,0.522646953209473,0.8388352118777035
cheap_talk-loc-1fe7737c8e8b,cheap_talk-locked_replication-04,cheap_talk,locked_replication,4,1.0,3.0,3.75,influence_message,B,B,True,True,B,True,0.0,0.955955290655151,0.4749179200218781
cheap_talk-loc-23a363f48ae7,cheap_talk-locked_replication-02,cheap_talk,locked_replication,2,0.5,2.0,3.75,aligned_message,B,B,True,True,B,True,0.0,0.5313895451354913,0.8450508004346049
cheap_talk-loc-3154ee359be4,cheap_talk-locked_replication-01,cheap_talk,locked_replication,1,0.0,0.0,6.25,aligned_message,A,A,True,True,A,True,0.0,0.3249855846803601,0.9225048708309641
cheap_talk-loc-70848bd08877,cheap_talk-locked_replication-03,cheap_talk,locked_replication,3,0.5,2.0,3.75,aligned_message,B,B,True,True,B,True,0.0,0.5656087794207689,0.8322805434314116
cheap_talk-loc-a07ffa62912f,cheap_talk-locked_replication-01,cheap_talk,locked_replication,1,0.0,1.0,1.25,aligned_message,A,B,True,False,B,False,1.25,1.0870430214177322,0.38913746306440744
