split,game,n,accuracy,legal_choice_accuracy,formatting_compliance,mean_regret,mean_output_entropy
discovery,chameleon,12,0.5,0.5,1.0,0.1625,0.8708774317145855
discovery,cheap_talk,12,0.8333333333333334,0.8333333333333334,1.0,0.20833333333333334,0.3353167871430241
discovery,disclosure,12,1.0,1.0,1.0,0.0,0.05883615737369921
discovery,inspection,12,1.0,1.0,1.0,0.0,0.011528597362709378
discovery,kuhn,12,0.6666666666666666,0.6666666666666666,1.0,0.2333333333333333,0.6265163017932076
discovery,signaling,12,0.9166666666666666,0.9166666666666666,1.0,0.0625,1.017682436228233
validation,chameleon,12,0.75,0.75,1.0,0.06249999999999998,0.9214008344948326
validation,cheap_talk,12,0.4166666666666667,0.4166666666666667,1.0,2.3958333333333335,0.9442559207215164
validation,disclosure,12,0.8333333333333334,0.8333333333333334,1.0,0.7125,0.7389238659231806
validation,inspection,12,0.8333333333333334,0.8333333333333334,1.0,0.09999999999999994,0.7016188344830844
validation,kuhn,12,0.5833333333333334,0.5833333333333334,1.0,0.375,0.6240506520128692
validation,signaling,12,0.75,0.75,1.0,0.135,1.0581280175081025
