split,game,n,accuracy,legal_choice_accuracy,formatting_compliance,mean_regret,mean_output_entropy
discovery,chameleon,12,0.5,0.5,1.0,0.1625,0.8631852133416125
discovery,cheap_talk,12,0.9166666666666666,0.9166666666666666,1.0,0.25,0.19812574726142662
discovery,disclosure,12,0.75,0.75,1.0,1.125,0.8893824151887614
discovery,inspection,12,0.4166666666666667,0.4166666666666667,1.0,1.9666666666666668,0.6971488752835612
discovery,kuhn,12,0.4166666666666667,0.4166666666666667,1.0,0.16041666666666665,0.5453652420171352
discovery,signaling,12,0.8333333333333334,0.8333333333333334,1.0,0.07916666666666668,1.0147409288929672
validation,chameleon,12,0.75,0.75,1.0,0.06249999999999998,0.9286454467202073
validation,cheap_talk,12,0.8333333333333334,0.8333333333333334,1.0,0.5833333333333334,0.8538625388498375
validation,disclosure,12,0.75,0.75,1.0,1.125,1.0129267988974904
validation,inspection,12,0.9166666666666666,0.9166666666666666,1.0,0.016666666666666607,0.7040773669296643
validation,kuhn,12,0.4166666666666667,0.4166666666666667,1.0,0.16041666666666665,0.5683268479569862
validation,signaling,12,0.75,0.75,1.0,0.135,1.0574003806962537
