condition_id,matched_group_id,game,split,strategy,expected_action,output_choice,commitment_layer
chameleon-loc-0fb6f5844bb9,chameleon-locked_replication-03,chameleon,locked_replication,balanced_clue,B,B,50.0
chameleon-loc-185c35f65f94,chameleon-locked_replication-02,chameleon,locked_replication,concealing_clue,A,B,49.0
chameleon-loc-1dd7f2460c25,chameleon-locked_replication-05,chameleon,locked_replication,concealing_clue,A,B,61.0
chameleon-loc-26793cc197e1,chameleon-locked_replication-01,chameleon,locked_replication,concealing_clue,A,B,61.0
chameleon-loc-582aae3f781c,chameleon-locked_replication-03,chameleon,locked_replication,concealing_clue,A,B,61.0
chameleon-loc-7e9c472f5cce,chameleon-locked_replication-04,chameleon,locked_replication,balanced_clue,B,A,
chameleon-loc-8655d3a10429,chameleon-locked_replication-00,chameleon,locked_replication,balanced_clue,B,A,
chameleon-loc-89c102b10ada,chameleon-locked_replication-02,chameleon,locked_replication,balanced_clue,B,A,
chameleon-loc-b40e73d99c9c,chameleon-locked_replication-04,chameleon,locked_replication,concealing_clue,A,B,49.0
chameleon-loc-ccf7ca7173ab,chameleon-locked_replication-00,chameleon,locked_replication,concealing_clue,A,B,49.0
chameleon-loc-d32e18d70d09,chameleon-locked_replication-01,chameleon,locked_replication,balanced_clue,B,B,50.0
chameleon-loc-e78d0e8677f0,chameleon-locked_replication-05,chameleon,locked_replication,balanced_clue,B,B,50.0
cheap_talk-loc-0003f8b3dab6,cheap_talk-locked_replication-00,cheap_talk,locked_replication,aligned_message,A,A,40.0
cheap_talk-loc-00690d50ed2e,cheap_talk-locked_replication-02,cheap_talk,locked_replication,influence_message,A,A,17.0
cheap_talk-loc-1fe7737c8e8b,cheap_talk-locked_replication-04,cheap_talk,locked_replication,influence_message,B,B,
cheap_talk-loc-23a363f48ae7,cheap_talk-locked_replication-02,cheap_talk,locked_replication,aligned_message,B,B,47.0
cheap_talk-loc-3154ee359be4,cheap_talk-locked_replication-01,cheap_talk,locked_replication,aligned_message,A,A,40.0
cheap_talk-loc-70848bd08877,cheap_talk-locked_replication-03,cheap_talk,locked_replication,aligned_message,B,B,47.0
cheap_talk-loc-a07ffa62912f,cheap_talk-locked_replication-01,cheap_talk,locked_replication,aligned_message,A,B,
cheap_talk-loc-b22d378d044d,cheap_talk-locked_replication-05,cheap_talk,locked_replication,aligned_message,C,C,50.0
cheap_talk-loc-b6ebc1adddfa,cheap_talk-locked_replication-04,cheap_talk,locked_replication,aligned_message,C,C,51.0
cheap_talk-loc-bbc70368efae,cheap_talk-locked_replication-05,cheap_talk,locked_replication,aligned_message,C,C,51.0
cheap_talk-loc-d0e9425ecee8,cheap_talk-locked_replication-00,cheap_talk,locked_replication,aligned_message,A,A,40.0
cheap_talk-loc-f9d810f39e87,cheap_talk-locked_replication-03,cheap_talk,locked_replication,influence_message,C,B,
disclosure-loc-2dbec69ba93c,disclosure-locked_replication-01,disclosure,locked_replication,full_disclosure,C,C,51.0
disclosure-loc-3f942f47810e,disclosure-locked_replication-05,disclosure,locked_replication,full_disclosure,C,C,51.0
disclosure-loc-46bc26ee6b2d,disclosure-locked_replication-04,disclosure,locked_replication,selective_disclosure,B,B,50.0
disclosure-loc-5c1099cede92,disclosure-locked_replication-00,disclosure,locked_replication,selective_disclosure,A,A,40.0
disclosure-loc-659e63181be9,disclosure-locked_replication-03,disclosure,locked_replication,selective_disclosure,A,A,40.0
disclosure-loc-6de22b6d0d0b,disclosure-locked_replication-00,disclosure,locked_replication,full_disclosure,C,C,51.0
disclosure-loc-70a5c8f67abb,disclosure-locked_replication-01,disclosure,locked_replication,selective_disclosure,A,A,40.0
disclosure-loc-7f907bd8d133,disclosure-locked_replication-02,disclosure,locked_replication,selective_disclosure,B,B,50.0
disclosure-loc-9f5020dccdd0,disclosure-locked_replication-02,disclosure,locked_replication,selective_disclosure,A,A,40.0
disclosure-loc-be1d659851f8,disclosure-locked_replication-04,disclosure,locked_replication,selective_disclosure,A,A,57.0
disclosure-loc-e39e6553e026,disclosure-locked_replication-05,disclosure,locked_replication,selective_disclosure,B,B,50.0
disclosure-loc-f08f2ac8cc53,disclosure-locked_replication-03,disclosure,locked_replication,selective_disclosure,B,B,50.0
inspection-loc-136a6faea234,inspection-locked_replication-04,inspection,locked_replication,risk,A,A,48.0
inspection-loc-143655e99801,inspection-locked_replication-01,inspection,locked_replication,risk,A,A,48.0
inspection-loc-6054c376515e,inspection-locked_replication-01,inspection,locked_replication,risk,A,A,48.0
inspection-loc-7a7ef89dc17a,inspection-locked_replication-05,inspection,locked_replication,safe,B,B,50.0
inspection-loc-b861fec3c549,inspection-locked_replication-04,inspection,locked_replication,safe,B,B,47.0
inspection-loc-b9cbc58e630d,inspection-locked_replication-02,inspection,locked_replication,risk,A,A,48.0
inspection-loc-dc939219ef5b,inspection-locked_replication-00,inspection,locked_replication,risk,A,A,48.0
inspection-loc-e3485839ab19,inspection-locked_replication-05,inspection,locked_replication,safe,B,B,50.0
inspection-loc-e3622c15956b,inspection-locked_replication-02,inspection,locked_replication,risk,A,A,48.0
inspection-loc-e791935c1b55,inspection-locked_replication-00,inspection,locked_replication,risk,A,A,48.0
inspection-loc-f07e2a132ca8,inspection-locked_replication-03,inspection,locked_replication,safe,B,B,50.0
inspection-loc-f3093b1e842d,inspection-locked_replication-03,inspection,locked_replication,safe,B,B,50.0
kuhn-loc-041cbde890b9,kuhn-locked_replication-03,kuhn,locked_replication,check,B,A,
kuhn-loc-16adbc2a828d,kuhn-locked_replication-02,kuhn,locked_replication,value_bet,A,A,
kuhn-loc-26182a8b2932,kuhn-locked_replication-05,kuhn,locked_replication,value_bet,A,A,
kuhn-loc-2c79886de120,kuhn-locked_replication-01,kuhn,locked_replication,thin_bet,A,A,
kuhn-loc-582ced6f83c7,kuhn-locked_replication-02,kuhn,locked_replication,value_bet,A,A,
kuhn-loc-702dcd30d69a,kuhn-locked_replication-05,kuhn,locked_replication,value_bet,A,A,
kuhn-loc-76b7fa5c7ba3,kuhn-locked_replication-01,kuhn,locked_replication,thin_bet,A,B,60.0
kuhn-loc-98f462e66e04,kuhn-locked_replication-04,kuhn,locked_replication,check,B,B,59.0
kuhn-loc-aa1717f4157e,kuhn-locked_replication-00,kuhn,locked_replication,bluff,A,B,60.0
kuhn-loc-b2b1a1be0ee2,kuhn-locked_replication-04,kuhn,locked_replication,check,B,A,
kuhn-loc-d6bcf41bf33a,kuhn-locked_replication-00,kuhn,locked_replication,bluff,A,A,62.0
kuhn-loc-dd7cd132640b,kuhn-locked_replication-03,kuhn,locked_replication,check,B,B,60.0
signaling-loc-1847b09bba02,signaling-locked_replication-05,signaling,locked_replication,pooling_down,B,B,60.0
signaling-loc-364f0a2468df,signaling-locked_replication-01,signaling,locked_replication,separating,B,B,60.0
signaling-loc-3f1ef06febb1,signaling-locked_replication-04,signaling,locked_replication,pooling_down,A,A,52.0
signaling-loc-4ee7fadd0fcd,signaling-locked_replication-03,signaling,locked_replication,separating,A,A,
signaling-loc-5e3052374520,signaling-locked_replication-00,signaling,locked_replication,pooling_up,B,B,60.0
signaling-loc-622a967eea64,signaling-locked_replication-03,signaling,locked_replication,separating,A,A,45.0
signaling-loc-6c04b7966141,signaling-locked_replication-02,signaling,locked_replication,pooling_down,B,B,60.0
signaling-loc-8f75a15e7919,signaling-locked_replication-04,signaling,locked_replication,pooling_down,A,B,60.0
signaling-loc-a03268910d74,signaling-locked_replication-00,signaling,locked_replication,pooling_up,B,B,60.0
signaling-loc-a1d270fddf8e,signaling-locked_replication-02,signaling,locked_replication,separating,C,B,60.0
signaling-loc-cdef9041ec86,signaling-locked_replication-01,signaling,locked_replication,separating,B,B,50.0
signaling-loc-d55b575e7d1a,signaling-locked_replication-05,signaling,locked_replication,separating,C,B,60.0
