condition_id,matched_group_id,game,split,strategy,expected_action,output_choice,commitment_layer
chameleon-dis-07cf03d98b42,chameleon-discovery-05,chameleon,discovery,balanced_clue,B,B,60.0
chameleon-dis-0cc4624da7fb,chameleon-discovery-00,chameleon,discovery,concealing_clue,A,B,60.0
chameleon-dis-2bdad3ebef24,chameleon-discovery-03,chameleon,discovery,balanced_clue,B,B,60.0
chameleon-dis-4ba94e96bb30,chameleon-discovery-01,chameleon,discovery,balanced_clue,B,B,60.0
chameleon-dis-4bc90b8afc25,chameleon-discovery-04,chameleon,discovery,concealing_clue,A,B,60.0
chameleon-dis-62060e2625b1,chameleon-discovery-03,chameleon,discovery,concealing_clue,A,A,44.0
chameleon-dis-650ec0cbc175,chameleon-discovery-00,chameleon,discovery,balanced_clue,B,A,44.0
chameleon-dis-6519607f2ba9,chameleon-discovery-02,chameleon,discovery,concealing_clue,A,B,60.0
chameleon-dis-83f7f75b8840,chameleon-discovery-01,chameleon,discovery,concealing_clue,A,A,44.0
chameleon-dis-98fa21905de0,chameleon-discovery-05,chameleon,discovery,concealing_clue,A,A,44.0
chameleon-dis-a0f2af659402,chameleon-discovery-02,chameleon,discovery,balanced_clue,B,A,44.0
chameleon-dis-f6361c4d1bf3,chameleon-discovery-04,chameleon,discovery,balanced_clue,B,A,44.0
chameleon-val-122bb906f73c,chameleon-validation-03,chameleon,validation,concealing_clue,A,A,
chameleon-val-1af0b2e87f45,chameleon-validation-00,chameleon,validation,balanced_clue,B,B,51.0
chameleon-val-2f49e26f9b69,chameleon-validation-04,chameleon,validation,balanced_clue,B,B,51.0
chameleon-val-4f2cbae47ef4,chameleon-validation-03,chameleon,validation,balanced_clue,B,B,51.0
chameleon-val-7d63a490f06c,chameleon-validation-05,chameleon,validation,balanced_clue,B,B,51.0
chameleon-val-978a3c720fe4,chameleon-validation-01,chameleon,validation,concealing_clue,A,A,
chameleon-val-a95f4a189e7d,chameleon-validation-02,chameleon,validation,balanced_clue,B,B,51.0
chameleon-val-aa8f5c136cb6,chameleon-validation-05,chameleon,validation,concealing_clue,A,A,
chameleon-val-c48e19b7a6ba,chameleon-validation-00,chameleon,validation,concealing_clue,A,B,
chameleon-val-d813fcf302c4,chameleon-validation-01,chameleon,validation,balanced_clue,B,B,51.0
chameleon-val-ebdb388b4c44,chameleon-validation-02,chameleon,validation,concealing_clue,A,B,
chameleon-val-fdb6d9c3a399,chameleon-validation-04,chameleon,validation,concealing_clue,A,B,
cheap_talk-dis-0f50c9fb082c,cheap_talk-discovery-04,cheap_talk,discovery,influence_message,B,B,49.0
