game,layer,frequency_rank,token_text,count,row_fraction
chameleon,1,1, Blowjob,12,1.0
chameleon,1,2, دمش,12,1.0
chameleon,1,3,obuf,12,1.0
chameleon,1,4,维也纳,12,1.0
chameleon,1,5,laves,12,1.0
chameleon,1,6,皇岛,12,1.0
chameleon,1,7,krát,12,1.0
chameleon,1,8,用书,12,1.0
chameleon,1,9,ياً,12,1.0
chameleon,1,10, Bbw,6,0.5
chameleon,1,11, 고객님의,6,0.5
chameleon,3,1, Blowjob,12,1.0
chameleon,3,2, milfs,12,1.0
chameleon,3,3, cumshot,6,0.5
chameleon,6,1,的,12,1.0
chameleon,15,1,ness,12,1.0
chameleon,15,2,est,6,0.5
chameleon,41,1,选择,6,1.0
chameleon,42,1,选择,9,1.0
chameleon,43,1,选择,6,1.0
chameleon,53,1,"""B",3,1.0
chameleon,54,1,"""B",6,1.0
chameleon,55,1,"""B",12,1.0
chameleon,55,2,>B,9,0.75
chameleon,55,3,*B,9,0.75
chameleon,56,1,"""B",9,1.0
chameleon,56,2,*B,9,1.0
chameleon,56,3,>B,6,0.6666666666666666
chameleon,56,4,.B,3,0.3333333333333333
chameleon,57,1,"""B",12,1.0
chameleon,57,2,*B,9,0.75
chameleon,57,3,.B,6,0.5
chameleon,57,4,"""A",3,0.25
chameleon,58,1,"""B",12,1.0
chameleon,58,2,*B,9,0.75
chameleon,58,3,.B,6,0.5
chameleon,58,4,:B,3,0.25
chameleon,58,5,'B,3,0.25
chameleon,58,6,>B,3,0.25
chameleon,58,7,"""A",3,0.25
chameleon,59,1,"""B",12,1.0
chameleon,59,2,.B,3,0.25
chameleon,59,3,'B,3,0.25
chameleon,59,4,"""A",3,0.25
chameleon,60,1,.B,12,1.0
chameleon,60,2,:B,6,0.5
chameleon,60,3,"""B",6,0.5
chameleon,60,4,'B,3,0.25
chameleon,60,5,_B,3,0.25
chameleon,61,1,"""A",6,0.5
chameleon,61,2,.B,3,0.25
chameleon,61,3,_B,3,0.25
chameleon,61,4,"""B",3,0.25
chameleon,62,1,"""B",6,1.0
chameleon,62,2,_B,3,0.5
chameleon,62,3,.B,3,0.5
cheap_talk,1,1, Blowjob,12,1.0
cheap_talk,1,2,obuf,12,1.0
cheap_talk,1,3,laves,12,1.0
cheap_talk,1,4,维也纳,12,1.0
cheap_talk,1,5, دمش,12,1.0
cheap_talk,1,6,用书,12,1.0
cheap_talk,1,7,krát,12,1.0
cheap_talk,1,8,皇岛,12,1.0
cheap_talk,1,9,ياً,12,1.0
cheap_talk,1,10, 고객님의,6,0.5
cheap_talk,1,11,ankan,4,0.3333333333333333
cheap_talk,1,12,(isolate,2,0.16666666666666666
cheap_talk,3,1, Blowjob,12,1.0
cheap_talk,3,2, milfs,12,1.0
cheap_talk,3,3, cumshot,12,1.0
cheap_talk,6,1,的,12,1.0
cheap_talk,15,1,ness,12,1.0
cheap_talk,15,2,est,5,0.4166666666666667
cheap_talk,42,1, Choice,8,1.0
cheap_talk,43,1, closest,11,1.0
cheap_talk,43,2,closest,10,0.9090909090909091
cheap_talk,43,3, Choice,3,0.2727272727272727
cheap_talk,43,4, nearest,3,0.2727272727272727
cheap_talk,43,5,接近,2,0.18181818181818182
cheap_talk,43,6, proximity,1,0.09090909090909091
cheap_talk,44,1, closest,11,0.9166666666666666
cheap_talk,44,2,closest,11,0.9166666666666666
cheap_talk,44,3, nearest,10,0.8333333333333334
cheap_talk,44,4,靠近,3,0.25
cheap_talk,44,5,接近,3,0.25
cheap_talk,44,6, closer,2,0.16666666666666666
cheap_talk,44,7, Choice,2,0.16666666666666666
cheap_talk,45,1, closest,11,1.0
cheap_talk,45,2,closest,8,0.7272727272727273
cheap_talk,45,3, nearest,6,0.5454545454545454
cheap_talk,45,4,接近,2,0.18181818181818182
cheap_talk,45,5,靠近,1,0.09090909090909091
cheap_talk,46,1, closest,5,1.0
cheap_talk,46,2,closest,2,0.4
cheap_talk,49,1,closest,1,1.0
cheap_talk,53,1,"""C",1,1.0
cheap_talk,54,1,"""C",2,0.6666666666666666
cheap_talk,54,2,"""B",1,0.3333333333333333
cheap_talk,55,1,ABC,6,0.5
cheap_talk,55,2,:B,6,0.5
cheap_talk,55,3,"""B",4,0.3333333333333333
cheap_talk,55,4,*B,2,0.16666666666666666
cheap_talk,55,5,"""C",2,0.16666666666666666
cheap_talk,55,6,:C,2,0.16666666666666666
cheap_talk,56,1,"""B",7,0.5833333333333334
cheap_talk,56,2,ABC,4,0.3333333333333333
cheap_talk,56,3,*B,4,0.3333333333333333
cheap_talk,56,4,'C,3,0.25
cheap_talk,56,5,:B,3,0.25
cheap_talk,56,6,"""C",3,0.25
cheap_talk,56,7, AABB,2,0.16666666666666666
cheap_talk,56,8,.getB,1,0.08333333333333333
cheap_talk,56,9,*C,1,0.08333333333333333
cheap_talk,56,10,:C,1,0.08333333333333333
cheap_talk,57,1,"""B",9,0.75
cheap_talk,57,2,"""C",7,0.5833333333333334
cheap_talk,57,3,"""A",3,0.25
cheap_talk,57,4, BC,3,0.25
cheap_talk,57,5,:B,2,0.16666666666666666
cheap_talk,57,6,'C,2,0.16666666666666666
cheap_talk,57,7,:C,2,0.16666666666666666
cheap_talk,57,8,*B,1,0.08333333333333333
cheap_talk,57,9,$c,1,0.08333333333333333
cheap_talk,58,1,'C,6,0.5
cheap_talk,58,2,"""B",5,0.4166666666666667
cheap_talk,58,3,'A,4,0.3333333333333333
cheap_talk,58,4, BC,4,0.3333333333333333
cheap_talk,58,5,"""A",3,0.25
cheap_talk,58,6,*B,3,0.25
cheap_talk,58,7,"""C",3,0.25
cheap_talk,58,8,:C,3,0.25
cheap_talk,58,9,:B,2,0.16666666666666666
cheap_talk,58,10,*C,2,0.16666666666666666
cheap_talk,58,11,>C,1,0.08333333333333333
cheap_talk,59,1,"""B",5,0.5
cheap_talk,59,2,'C,5,0.5
cheap_talk,59,3,"""C",3,0.3
cheap_talk,59,4,*C,2,0.2
cheap_talk,59,5,:B,2,0.2
cheap_talk,59,6,:C,2,0.2
cheap_talk,59,7,答案,1,0.1
cheap_talk,60,1,'C,6,0.6
cheap_talk,60,2,'B,5,0.5
cheap_talk,60,3,:C,3,0.3
cheap_talk,60,4,"""C",3,0.3
cheap_talk,60,5,'A,2,0.2
cheap_talk,60,6,:B,2,0.2
cheap_talk,60,7,"""B",1,0.1
cheap_talk,60,8,-C,1,0.1
cheap_talk,61,1,'C,6,0.5454545454545454
cheap_talk,61,2,'A,4,0.36363636363636365
cheap_talk,61,3,*C,4,0.36363636363636365
cheap_talk,61,4,"""A",3,0.2727272727272727
cheap_talk,61,5,_C,3,0.2727272727272727
cheap_talk,61,6,:C,3,0.2727272727272727
cheap_talk,61,7,"""C",2,0.18181818181818182
cheap_talk,61,8,:B,1,0.09090909090909091
cheap_talk,61,9,-C,1,0.09090909090909091
cheap_talk,62,1,"""C",6,0.5
cheap_talk,62,2,'C,5,0.4166666666666667
cheap_talk,62,3,"""A",4,0.3333333333333333
cheap_talk,62,4,А,4,0.3333333333333333
cheap_talk,62,5,:C,4,0.3333333333333333
cheap_talk,62,6,_C,4,0.3333333333333333
cheap_talk,62,7,(A,2,0.16666666666666666
cheap_talk,62,8,"""B",2,0.16666666666666666
cheap_talk,62,9,:B,2,0.16666666666666666
cheap_talk,62,10,_B,2,0.16666666666666666
cheap_talk,62,11,.C,2,0.16666666666666666
cheap_talk,62,12,_A,1,0.08333333333333333
cheap_talk,62,13,*C,1,0.08333333333333333
disclosure,1,1, Blowjob,12,1.0
disclosure,1,2, دمش,12,1.0
disclosure,1,3,laves,12,1.0
disclosure,1,4,obuf,12,1.0
disclosure,1,5,维也纳,12,1.0
disclosure,1,6,皇岛,12,1.0
disclosure,1,7,krát,12,1.0
disclosure,1,8,用书,12,1.0
disclosure,1,9, 고객님의,12,1.0
disclosure,1,10,ياً,10,0.8333333333333334
disclosure,1,11, Bbw,2,0.16666666666666666
disclosure,3,1, Blowjob,12,1.0
disclosure,3,2, milfs,12,1.0
disclosure,3,3, cumshot,12,1.0
disclosure,6,1,的,12,1.0
disclosure,15,1,ness,12,1.0
disclosure,42,1, Choice,3,1.0
disclosure,43,1, Choice,2,1.0
disclosure,44,1, Choice,2,1.0
disclosure,45,1, Choice,1,1.0
disclosure,55,1,答案,9,0.8181818181818182
disclosure,55,2,:B,4,0.36363636363636365
disclosure,55,3,>B,4,0.36363636363636365
disclosure,55,4,"""B",4,0.36363636363636365
disclosure,55,5,:C,3,0.2727272727272727
disclosure,55,6,"""C",3,0.2727272727272727
disclosure,55,7,ABC,1,0.09090909090909091
disclosure,55,8, BCA,1,0.09090909090909091
disclosure,56,1,答案,9,0.75
disclosure,56,2,:B,4,0.3333333333333333
disclosure,56,3,>B,4,0.3333333333333333
disclosure,56,4,:C,3,0.25
disclosure,56,5,"""C",3,0.25
disclosure,56,6,"""B",3,0.25
disclosure,56,7, BCA,1,0.08333333333333333
disclosure,56,8, ABC,1,0.08333333333333333
disclosure,57,1,答案,6,0.5
disclosure,57,2,"""B",4,0.3333333333333333
disclosure,57,3,:B,4,0.3333333333333333
disclosure,57,4,"""C",3,0.25
disclosure,57,5,:C,3,0.25
disclosure,57,6,选择,1,0.08333333333333333
disclosure,57,7,"""A",1,0.08333333333333333
disclosure,57,8, BCA,1,0.08333333333333333
disclosure,57,9,*A,1,0.08333333333333333
disclosure,58,1,:B,4,0.3333333333333333
disclosure,58,2,"""B",4,0.3333333333333333
disclosure,58,3,:A,4,0.3333333333333333
disclosure,58,4,"""A",4,0.3333333333333333
disclosure,58,5,:C,3,0.25
disclosure,58,6,"""C",3,0.25
disclosure,58,7,>B,3,0.25
disclosure,58,8,'C,2,0.16666666666666666
disclosure,58,9,*B,2,0.16666666666666666
disclosure,58,10,答案,2,0.16666666666666666
disclosure,58,11,*C,1,0.08333333333333333
disclosure,58,12,=C,1,0.08333333333333333
disclosure,58,13,*A,1,0.08333333333333333
disclosure,58,14, AA,1,0.08333333333333333
disclosure,59,1,答案,11,1.0
disclosure,59,2,回答,2,0.18181818181818182
disclosure,59,3, Choice,1,0.09090909090909091
disclosure,60,1,:B,4,0.4444444444444444
disclosure,60,2,:C,3,0.3333333333333333
disclosure,60,3,"""C",3,0.3333333333333333
disclosure,60,4, Choice,1,0.1111111111111111
disclosure,60,5,>A,1,0.1111111111111111
disclosure,60,6, А,1,0.1111111111111111
disclosure,61,1,:B,4,0.36363636363636365
disclosure,61,2,:C,3,0.2727272727272727
disclosure,61,3,.C,3,0.2727272727272727
disclosure,61,4,_C,2,0.18181818181818182
disclosure,61,5,:A,2,0.18181818181818182
disclosure,61,6,'A,2,0.18181818181818182
disclosure,61,7,'C,1,0.09090909090909091
disclosure,61,8,"""C",1,0.09090909090909091
disclosure,61,9,*A,1,0.09090909090909091
disclosure,62,1,"""A",5,0.4166666666666667
disclosure,62,2,"""B",4,0.3333333333333333
disclosure,62,3,:B,4,0.3333333333333333
disclosure,62,4,А,4,0.3333333333333333
disclosure,62,5,"""C",3,0.25
disclosure,62,6,.C,3,0.25
disclosure,62,7,:C,3,0.25
disclosure,62,8,_C,3,0.25
disclosure,62,9,'C,1,0.08333333333333333
disclosure,62,10,_A,1,0.08333333333333333
inspection,1,1, Blowjob,12,1.0
inspection,1,2, دمش,12,1.0
inspection,1,3,obuf,12,1.0
inspection,1,4,维也纳,12,1.0
inspection,1,5,laves,12,1.0
inspection,1,6,皇岛,12,1.0
inspection,1,7,krát,12,1.0
inspection,1,8,用书,12,1.0
inspection,1,9, 고객님의,12,1.0
inspection,1,10, Bbw,12,1.0
inspection,3,1, Blowjob,12,1.0
inspection,3,2, milfs,12,1.0
inspection,3,3, cumshot,12,1.0
inspection,6,1,的,5,1.0
inspection,15,1,ness,12,1.0
inspection,43,1, Choice,4,1.0
inspection,43,2,选择,1,0.25
inspection,44,1, Choice,1,1.0
inspection,51,1,答案,8,1.0
inspection,52,1,答案,7,1.0
inspection,53,1,答案,5,1.0
inspection,55,1,答案,7,0.5833333333333334
inspection,55,2,:B,5,0.4166666666666667
inspection,55,3,>B,5,0.4166666666666667
inspection,55,4,"""B",5,0.4166666666666667
inspection,55,5,*B,2,0.16666666666666666
inspection,56,1,答案,7,0.5833333333333334
inspection,56,2,:B,5,0.4166666666666667
inspection,56,3,"""B",5,0.4166666666666667
inspection,56,4,>B,5,0.4166666666666667
inspection,56,5,.getB,1,0.08333333333333333
inspection,57,1,答案,7,0.5833333333333334
inspection,57,2,"""A",6,0.5
inspection,57,3,:B,5,0.4166666666666667
inspection,57,4,"""B",5,0.4166666666666667
inspection,57,5,>B,5,0.4166666666666667
inspection,57,6,AA,1,0.08333333333333333
inspection,57,7,'A,1,0.08333333333333333
inspection,58,1,:A,7,0.5833333333333334
inspection,58,2,"""A",7,0.5833333333333334
inspection,58,3,:B,5,0.4166666666666667
inspection,58,4,"""B",5,0.4166666666666667
inspection,58,5,*B,5,0.4166666666666667
inspection,58,6,>B,5,0.4166666666666667
inspection,58,7,=A,4,0.3333333333333333
inspection,58,8,'B,4,0.3333333333333333
inspection,58,9,答案,3,0.25
inspection,58,10,'A,1,0.08333333333333333
inspection,59,1,答案,12,1.0
inspection,59,2,回答,4,0.3333333333333333
inspection,59,3,_answer,1,0.08333333333333333
inspection,60,1,答案,6,0.5
inspection,60,2,:B,5,0.4166666666666667
inspection,60,3,>B,5,0.4166666666666667
inspection,60,4,.B,5,0.4166666666666667
inspection,60,5,:A,4,0.3333333333333333
inspection,60,6,'B,1,0.08333333333333333
inspection,61,1,:A,7,0.5833333333333334
inspection,61,2,'A,5,0.4166666666666667
inspection,61,3,:B,5,0.4166666666666667
inspection,61,4,>B,3,0.25
inspection,62,1,А,7,0.5833333333333334
inspection,62,2,:A,7,0.5833333333333334
inspection,62,3,"""A",7,0.5833333333333334
inspection,62,4,:B,5,0.4166666666666667
inspection,62,5,"""B",5,0.4166666666666667
inspection,62,6,“A,2,0.16666666666666666
inspection,62,7,_B,2,0.16666666666666666
inspection,62,8,.B,1,0.08333333333333333
kuhn,1,1, Blowjob,12,1.0
kuhn,1,2,维也纳,12,1.0
kuhn,1,3, دمش,12,1.0
