game,layer,frequency_rank,token_text,count,row_fraction
chameleon,1,1, Blowjob,24,1.0
chameleon,1,2, دمش,24,1.0
chameleon,1,3,obuf,24,1.0
chameleon,1,4,维也纳,24,1.0
chameleon,1,5,laves,24,1.0
chameleon,1,6,krát,24,1.0
chameleon,1,7,皇岛,24,1.0
chameleon,1,8,用书,24,1.0
chameleon,1,9,ياً,24,1.0
chameleon,1,10, 고객님의,15,0.625
chameleon,3,1, Blowjob,24,1.0
chameleon,3,2, milfs,24,1.0
chameleon,3,3, cumshot,3,0.125
chameleon,6,1,的,24,1.0
chameleon,15,1,ness,24,1.0
chameleon,15,2,est,6,0.25
chameleon,41,1,选择,3,1.0
chameleon,42,1, Choice,9,1.0
chameleon,43,1,选择,18,1.0
chameleon,43,2, Choice,3,0.16666666666666666
chameleon,44,1, Choice,9,0.75
chameleon,44,2, avoided,3,0.25
chameleon,45,1, Choice,15,1.0
chameleon,45,2, choice,6,0.4
chameleon,50,1,三,11,1.0
chameleon,55,1,"""B",18,0.8571428571428571
chameleon,55,2,*B,9,0.42857142857142855
chameleon,55,3,>B,3,0.14285714285714285
chameleon,55,4,ABC,3,0.14285714285714285
chameleon,56,1,"""B",18,0.8571428571428571
chameleon,56,2,*B,6,0.2857142857142857
chameleon,56,3,.B,3,0.14285714285714285
chameleon,56,4,"""C",3,0.14285714285714285
chameleon,56,5,*A,3,0.14285714285714285
chameleon,56,6,"""A",3,0.14285714285714285
chameleon,56,7,>B,3,0.14285714285714285
chameleon,57,1,"""B",18,0.8571428571428571
chameleon,57,2,.B,8,0.38095238095238093
chameleon,57,3,*B,6,0.2857142857142857
chameleon,57,4,"""C",6,0.2857142857142857
chameleon,57,5,"""A",6,0.2857142857142857
chameleon,57,6,*A,3,0.14285714285714285
chameleon,57,7,'A,3,0.14285714285714285
chameleon,58,1,"""B",18,0.75
chameleon,58,2,*B,12,0.5
chameleon,58,3,.B,6,0.25
chameleon,58,4,"""C",6,0.25
chameleon,58,5,"""A",6,0.25
chameleon,58,6,*A,6,0.25
chameleon,58,7,'B,6,0.25
chameleon,58,8,'A,3,0.125
chameleon,58,9,:A,3,0.125
chameleon,59,1,"""B",18,0.75
chameleon,59,2,"""C",6,0.25
chameleon,59,3,"""A",6,0.25
chameleon,60,1,.B,15,0.7142857142857143
chameleon,60,2,"""B",12,0.5714285714285714
chameleon,60,3,'B,6,0.2857142857142857
chameleon,60,4,"""C",3,0.14285714285714285
chameleon,61,1,"""C",9,0.42857142857142855
chameleon,61,2,"""A",6,0.2857142857142857
chameleon,61,3,.B,3,0.14285714285714285
chameleon,61,4,"""B",3,0.14285714285714285
chameleon,61,5,'A,3,0.14285714285714285
chameleon,61,6,.A,3,0.14285714285714285
chameleon,61,7,'B,3,0.14285714285714285
chameleon,62,1,А,6,0.3333333333333333
chameleon,62,2,"""C",6,0.3333333333333333
chameleon,62,3,_B,3,0.16666666666666666
chameleon,62,4,"""B",3,0.16666666666666666
cheap_talk,1,1, Blowjob,24,1.0
cheap_talk,1,2,维也纳,24,1.0
cheap_talk,1,3, دمش,24,1.0
cheap_talk,1,4,obuf,24,1.0
cheap_talk,1,5,laves,24,1.0
cheap_talk,1,6,krát,24,1.0
cheap_talk,1,7,皇岛,24,1.0
cheap_talk,1,8,用书,24,1.0
cheap_talk,1,9,ياً,24,1.0
cheap_talk,1,10,ankan,12,0.5
cheap_talk,1,11, 고객님의,12,0.5
cheap_talk,3,1, Blowjob,24,1.0
cheap_talk,3,2, milfs,24,1.0
cheap_talk,3,3, cumshot,24,1.0
cheap_talk,6,1,的,24,1.0
cheap_talk,14,1,的,23,1.0
cheap_talk,15,1,ness,24,1.0
cheap_talk,15,2,est,22,0.9166666666666666
cheap_talk,41,1, Choice,1,1.0
cheap_talk,42,1, Choice,12,0.9230769230769231
cheap_talk,42,2, closest,1,0.07692307692307693
cheap_talk,43,1, closest,17,0.9444444444444444
cheap_talk,43,2,closest,16,0.8888888888888888
cheap_talk,43,3, Choice,12,0.6666666666666666
cheap_talk,43,4, Target,8,0.4444444444444444
cheap_talk,43,5,接近,3,0.16666666666666666
cheap_talk,43,6, nearest,2,0.1111111111111111
cheap_talk,43,7, closer,1,0.05555555555555555
cheap_talk,43,8,靠近,1,0.05555555555555555
cheap_talk,44,1, closest,17,0.9444444444444444
cheap_talk,44,2,closest,17,0.9444444444444444
cheap_talk,44,3, nearest,14,0.7777777777777778
cheap_talk,44,4,接近,10,0.5555555555555556
cheap_talk,44,5, closer,5,0.2777777777777778
cheap_talk,44,6, Choice,4,0.2222222222222222
cheap_talk,44,7,靠近,2,0.1111111111111111
cheap_talk,44,8, choice,1,0.05555555555555555
cheap_talk,45,1, closest,17,0.9444444444444444
cheap_talk,45,2,closest,11,0.6111111111111112
cheap_talk,45,3, Choice,8,0.4444444444444444
cheap_talk,45,4, nearest,4,0.2222222222222222
cheap_talk,45,5,接近,4,0.2222222222222222
cheap_talk,45,6,靠近,2,0.1111111111111111
cheap_talk,45,7, closer,1,0.05555555555555555
cheap_talk,45,8,因为没有,1,0.05555555555555555
cheap_talk,46,1, closest,4,1.0
cheap_talk,46,2,closest,3,0.75
cheap_talk,53,1, Choice,3,0.75
cheap_talk,53,2,答案,1,0.25
cheap_talk,55,1,:B,14,0.6086956521739131
cheap_talk,55,2,*B,10,0.43478260869565216
cheap_talk,55,3,"""B",8,0.34782608695652173
cheap_talk,55,4,答案,6,0.2608695652173913
cheap_talk,55,5,>B,4,0.17391304347826086
cheap_talk,55,6,ABC,3,0.13043478260869565
cheap_talk,55,7,"""C",1,0.043478260869565216
cheap_talk,55,8,BBBB,1,0.043478260869565216
cheap_talk,56,1,"""B",17,0.7083333333333334
cheap_talk,56,2,:B,8,0.3333333333333333
cheap_talk,56,3,*B,6,0.25
cheap_talk,56,4,答案,5,0.20833333333333334
cheap_talk,56,5,>B,3,0.125
cheap_talk,56,6,"""C",2,0.08333333333333333
cheap_talk,56,7,'B,2,0.08333333333333333
cheap_talk,56,8,.getB,1,0.041666666666666664
