game,split,layer,prompt_echo_rate,unique_tokens
chameleon,locked_replication,0,0.08,50
chameleon,locked_replication,1,0.02,51
chameleon,locked_replication,2,0.0,53
chameleon,locked_replication,3,0.0,51
chameleon,locked_replication,4,0.0,51
chameleon,locked_replication,5,0.0,52
chameleon,locked_replication,6,0.0,51
chameleon,locked_replication,7,0.0,54
chameleon,locked_replication,8,0.0,51
chameleon,locked_replication,9,0.0,52
chameleon,locked_replication,10,0.0,54
chameleon,locked_replication,11,0.0,52
chameleon,locked_replication,12,0.0,52
chameleon,locked_replication,13,0.0,54
chameleon,locked_replication,14,0.02,54
chameleon,locked_replication,15,0.14,56
chameleon,locked_replication,16,0.09,56
chameleon,locked_replication,17,0.0,54
chameleon,locked_replication,18,0.0,52
chameleon,locked_replication,19,0.0,55
chameleon,locked_replication,20,0.0,52
chameleon,locked_replication,21,0.025,55
chameleon,locked_replication,22,0.0,56
chameleon,locked_replication,23,0.0,53
chameleon,locked_replication,24,0.0,54
chameleon,locked_replication,25,0.0,54
chameleon,locked_replication,26,0.0,53
chameleon,locked_replication,27,0.0,52
chameleon,locked_replication,28,0.0,55
chameleon,locked_replication,29,0.0,55
chameleon,locked_replication,30,0.0,55
chameleon,locked_replication,31,0.0,59
chameleon,locked_replication,32,0.005,58
chameleon,locked_replication,33,0.01,55
chameleon,locked_replication,34,0.0,54
chameleon,locked_replication,35,0.0,54
chameleon,locked_replication,36,0.0,55
chameleon,locked_replication,37,0.0,56
chameleon,locked_replication,38,0.0,53
chameleon,locked_replication,39,0.0,52
chameleon,locked_replication,40,0.09,54
chameleon,locked_replication,41,0.08,56
chameleon,locked_replication,42,0.135,63
chameleon,locked_replication,43,0.135,64
chameleon,locked_replication,44,0.15,65
chameleon,locked_replication,45,0.21,76
chameleon,locked_replication,46,0.155,68
chameleon,locked_replication,47,0.095,75
chameleon,locked_replication,48,0.04,66
chameleon,locked_replication,49,0.06,74
chameleon,locked_replication,50,0.005,71
chameleon,locked_replication,51,0.115,80
chameleon,locked_replication,52,0.115,74
chameleon,locked_replication,53,0.135,78
chameleon,locked_replication,54,0.085,81
chameleon,locked_replication,55,0.16,86
chameleon,locked_replication,56,0.165,82
chameleon,locked_replication,57,0.17,79
chameleon,locked_replication,58,0.175,71
chameleon,locked_replication,59,0.19,70
chameleon,locked_replication,60,0.22,81
chameleon,locked_replication,61,0.2,70
chameleon,locked_replication,62,0.5,75
cheap_talk,locked_replication,0,0.06,51
cheap_talk,locked_replication,1,0.0,52
cheap_talk,locked_replication,2,0.0,51
cheap_talk,locked_replication,3,0.0,50
cheap_talk,locked_replication,4,0.0,50
cheap_talk,locked_replication,5,0.0,50
cheap_talk,locked_replication,6,0.0,50
cheap_talk,locked_replication,7,0.0,51
cheap_talk,locked_replication,8,0.0,51
cheap_talk,locked_replication,9,0.0,52
cheap_talk,locked_replication,10,0.0,52
cheap_talk,locked_replication,11,0.0,52
cheap_talk,locked_replication,12,0.0,52
cheap_talk,locked_replication,13,0.0,52
cheap_talk,locked_replication,14,0.0,52
cheap_talk,locked_replication,15,0.043333333333333335,58
cheap_talk,locked_replication,16,0.04,51
cheap_talk,locked_replication,17,0.0,53
cheap_talk,locked_replication,18,0.0,54
cheap_talk,locked_replication,19,0.0,53
cheap_talk,locked_replication,20,0.0033333333333333335,51
cheap_talk,locked_replication,21,0.0,53
cheap_talk,locked_replication,22,0.0,53
cheap_talk,locked_replication,23,0.0,51
cheap_talk,locked_replication,24,0.0,50
cheap_talk,locked_replication,25,0.0,51
cheap_talk,locked_replication,26,0.0,50
cheap_talk,locked_replication,27,0.0,51
cheap_talk,locked_replication,28,0.0,54
cheap_talk,locked_replication,29,0.0,53
cheap_talk,locked_replication,30,0.0,55
cheap_talk,locked_replication,31,0.0,53
cheap_talk,locked_replication,32,0.0,55
cheap_talk,locked_replication,33,0.0,55
cheap_talk,locked_replication,34,0.0,56
cheap_talk,locked_replication,35,0.0,60
cheap_talk,locked_replication,36,0.0,57
cheap_talk,locked_replication,37,0.0,56
cheap_talk,locked_replication,38,0.0,61
cheap_talk,locked_replication,39,0.0,57
cheap_talk,locked_replication,40,0.09666666666666666,65
cheap_talk,locked_replication,41,0.006666666666666667,65
cheap_talk,locked_replication,42,0.02,72
cheap_talk,locked_replication,43,0.025,88
cheap_talk,locked_replication,44,0.006666666666666667,97
cheap_talk,locked_replication,45,0.011666666666666667,91
cheap_talk,locked_replication,46,0.006666666666666667,87
cheap_talk,locked_replication,47,0.0,89
cheap_talk,locked_replication,48,0.0016666666666666668,73
cheap_talk,locked_replication,49,0.011666666666666667,81
cheap_talk,locked_replication,50,0.008333333333333333,82
cheap_talk,locked_replication,51,0.051666666666666666,83
cheap_talk,locked_replication,52,0.04833333333333333,86
cheap_talk,locked_replication,53,0.056666666666666664,86
cheap_talk,locked_replication,54,0.03166666666666667,97
cheap_talk,locked_replication,55,0.10166666666666667,99
cheap_talk,locked_replication,56,0.09166666666666666,108
cheap_talk,locked_replication,57,0.11,110
cheap_talk,locked_replication,58,0.13333333333333333,117
cheap_talk,locked_replication,59,0.19333333333333333,116
cheap_talk,locked_replication,60,0.195,107
cheap_talk,locked_replication,61,0.20833333333333334,111
cheap_talk,locked_replication,62,0.4166666666666667,102
disclosure,locked_replication,0,0.08,50
disclosure,locked_replication,1,0.0,51
disclosure,locked_replication,2,0.0,52
disclosure,locked_replication,3,0.0,50
disclosure,locked_replication,4,0.0,51
disclosure,locked_replication,5,0.0,51
disclosure,locked_replication,6,0.0,51
disclosure,locked_replication,7,0.0,50
disclosure,locked_replication,8,0.0,51
disclosure,locked_replication,9,0.0,52
disclosure,locked_replication,10,0.0,51
disclosure,locked_replication,11,0.0,52
disclosure,locked_replication,12,0.0,50
