cluster_id,category,function,source_argument,target_argument,alpha,semantic_delta,semantic_top1,control_delta,control_top1,control_kind,paired_delta
fbe5d4e9e3c9605f,countries,capital,France,Canada,0.5,3.71875,False,0.375,False,random_delta_matched,3.34375
fbe5d4e9e3c9605f,countries,capital,France,Canada,1.0,1.0,False,0.34375,False,random_delta_matched,0.65625
fbe5d4e9e3c9605f,countries,capital,France,Canada,2.0,-30.65625,False,0.40625,False,random_delta_matched,-31.0625
fbe5d4e9e3c9605f,countries,capital,France,China,0.5,3.4375,False,0.03125,False,random_delta_matched,3.40625
fbe5d4e9e3c9605f,countries,capital,France,China,1.0,1.0625,False,-0.15625,False,random_delta_matched,1.21875
fbe5d4e9e3c9605f,countries,capital,France,China,2.0,-24.875,False,0.9375,False,random_delta_matched,-25.8125
fbe5d4e9e3c9605f,countries,capital,France,Egypt,0.5,1.90625,False,0.34375,False,random_delta_matched,1.5625
fbe5d4e9e3c9605f,countries,capital,France,Egypt,1.0,0.28125,False,-0.46875,False,random_delta_matched,0.75
fbe5d4e9e3c9605f,countries,capital,France,Egypt,2.0,-30.71875,False,-0.375,False,random_delta_matched,-30.34375
35a4dd493a64116d,countries,capital,Canada,France,0.5,4.5,False,0.0625,False,random_delta_matched,4.4375
35a4dd493a64116d,countries,capital,Canada,France,1.0,0.0,False,-0.25,False,random_delta_matched,0.25
35a4dd493a64116d,countries,capital,Canada,France,2.0,-31.1875,False,0.5625,False,random_delta_matched,-31.75
35a4dd493a64116d,countries,capital,Canada,China,0.5,7.96875,False,0.03125,False,random_delta_matched,7.9375
35a4dd493a64116d,countries,capital,Canada,China,1.0,0.625,False,-0.15625,False,random_delta_matched,0.78125
35a4dd493a64116d,countries,capital,Canada,China,2.0,-22.96875,False,1.59375,False,random_delta_matched,-24.5625
35a4dd493a64116d,countries,capital,Canada,Egypt,0.5,3.3125,False,0.09375,False,random_delta_matched,3.21875
35a4dd493a64116d,countries,capital,Canada,Egypt,1.0,0.3125,False,0.5625,False,random_delta_matched,-0.25
35a4dd493a64116d,countries,capital,Canada,Egypt,2.0,-28.625,False,2.375,False,random_delta_matched,-31.0
acdc30dbaf045bc4,countries,capital,China,France,0.5,5.1875,False,-0.1875,False,random_delta_matched,5.375
acdc30dbaf045bc4,countries,capital,China,France,1.0,0.5625,False,-0.3125,False,random_delta_matched,0.875
acdc30dbaf045bc4,countries,capital,China,France,2.0,-25.0625,False,1.5,False,random_delta_matched,-26.5625
acdc30dbaf045bc4,countries,capital,China,Canada,0.5,2.71875,False,-0.15625,False,random_delta_matched,2.875
acdc30dbaf045bc4,countries,capital,China,Canada,1.0,0.625,False,0.5625,False,random_delta_matched,0.0625
acdc30dbaf045bc4,countries,capital,China,Canada,2.0,-22.28125,False,0.1875,False,random_delta_matched,-22.46875
acdc30dbaf045bc4,countries,capital,China,Egypt,0.5,1.5625,False,-0.125,False,random_delta_matched,1.6875
acdc30dbaf045bc4,countries,capital,China,Egypt,1.0,0.34375,False,-0.28125,False,random_delta_matched,0.625
acdc30dbaf045bc4,countries,capital,China,Egypt,2.0,-28.5625,False,-0.53125,False,random_delta_matched,-28.03125
a1432dd404d9c7b7,countries,capital,Egypt,France,0.5,8.0625,False,0.3125,False,random_delta_matched,7.75
a1432dd404d9c7b7,countries,capital,Egypt,France,1.0,1.75,False,0.4375,False,random_delta_matched,1.3125
a1432dd404d9c7b7,countries,capital,Egypt,France,2.0,-32.4375,False,1.5,False,random_delta_matched,-33.9375
a1432dd404d9c7b7,countries,capital,Egypt,Canada,0.5,7.625,False,-0.15625,False,random_delta_matched,7.78125
a1432dd404d9c7b7,countries,capital,Egypt,Canada,1.0,1.28125,False,0.875,False,random_delta_matched,0.40625
a1432dd404d9c7b7,countries,capital,Egypt,Canada,2.0,-29.9375,False,2.65625,False,random_delta_matched,-32.59375
a1432dd404d9c7b7,countries,capital,Egypt,China,0.5,8.71875,False,0.21875,False,random_delta_matched,8.5
a1432dd404d9c7b7,countries,capital,Egypt,China,1.0,0.75,False,0.15625,False,random_delta_matched,0.59375
a1432dd404d9c7b7,countries,capital,Egypt,China,2.0,-31.09375,False,1.90625,False,random_delta_matched,-33.0
711b40021d1c6f64,countries,language,France,Canada,0.5,0.5625,False,-0.2499997615814209,False,random_delta_matched,0.8124997615814209
711b40021d1c6f64,countries,language,France,Canada,1.0,0.0625,False,-0.0625,False,random_delta_matched,0.125
711b40021d1c6f64,countries,language,France,Canada,2.0,-18.6953125,False,-0.125,False,random_delta_matched,-18.5703125
711b40021d1c6f64,countries,language,France,China,0.5,5.1875,False,0.4375,False,random_delta_matched,4.75
711b40021d1c6f64,countries,language,France,China,1.0,0.875,False,-0.1875,False,random_delta_matched,1.0625
711b40021d1c6f64,countries,language,France,China,2.0,-43.5,False,1.5625004768371582,False,random_delta_matched,-45.06250047683716
711b40021d1c6f64,countries,language,France,Egypt,0.5,3.875,False,0.125,False,random_delta_matched,3.75
711b40021d1c6f64,countries,language,France,Egypt,1.0,1.0625,False,-0.1875,False,random_delta_matched,1.25
711b40021d1c6f64,countries,language,France,Egypt,2.0,-27.6875,False,0.5625,False,random_delta_matched,-28.25
8aa25ea0a3442552,countries,language,Canada,France,0.5,1.875,True,-0.12500011920928955,False,random_delta_matched,2.0000001192092896
8aa25ea0a3442552,countries,language,Canada,France,1.0,-1.1920928955078125e-07,False,0.24999988079071045,False,random_delta_matched,-0.25
8aa25ea0a3442552,countries,language,Canada,France,2.0,-21.875,False,-1.1920928955078125e-07,False,random_delta_matched,-21.87499988079071
8aa25ea0a3442552,countries,language,Canada,China,0.5,5.9375,False,-0.25,False,random_delta_matched,6.1875
8aa25ea0a3442552,countries,language,Canada,China,1.0,1.875,False,0.875,False,random_delta_matched,1.0
8aa25ea0a3442552,countries,language,Canada,China,2.0,-21.070308685302734,False,1.0625,False,random_delta_matched,-22.132808685302734
8aa25ea0a3442552,countries,language,Canada,Egypt,0.5,3.0625,False,-0.5625,False,random_delta_matched,3.625
8aa25ea0a3442552,countries,language,Canada,Egypt,1.0,0.25,False,-0.75,False,random_delta_matched,1.0
8aa25ea0a3442552,countries,language,Canada,Egypt,2.0,-8.9375,False,2.375,False,random_delta_matched,-11.3125
84474c8700aab5ed,countries,language,Egypt,France,0.5,6.0,False,0.3125,False,random_delta_matched,5.6875
84474c8700aab5ed,countries,language,Egypt,France,1.0,0.9375,False,0.1875,False,random_delta_matched,0.75
84474c8700aab5ed,countries,language,Egypt,France,2.0,-30.0,False,2.1875,False,random_delta_matched,-32.1875
84474c8700aab5ed,countries,language,Egypt,Canada,0.5,2.125,False,-0.375,False,random_delta_matched,2.5
