alpha,control_kind,raw_n,cluster_n,mean_delta,ci95_lower,ci95_upper,positive_fraction,target_top1_fraction,mean_output_kl,median_output_kl,p90_output_kl,p95_output_kl,max_output_kl,mean_delta_rms_ratio,p95_delta_rms_ratio,max_delta_rms_ratio
0.5,identity,90,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,random_delta_matched,90,32,0.011805572774675158,-0.04476314013202985,0.060400378300497846,0.4888888888888889,0.0,0.004509229955470396,0.0020387060940265656,0.009353860002011069,0.021059790998697276,0.0296865776181221,0.03593116369690203,0.08041095903608947,0.2092301994562149
0.5,semantic,90,32,1.8930555582046509,1.1489094809939466,2.550821944512427,0.9666666666666667,0.011111111111111112,0.0342418716369947,0.004867204464972019,0.08757597804069557,0.1396627500653267,0.5429945588111877,0.007791987794836233,0.015106945180377805,0.19634822010993958
0.5,unrelated_semantic,90,32,0.25972222884496055,0.12726639288788041,0.39944253700474885,0.6777777777777778,0.0,0.03428573006951612,0.00528206373564899,0.08757597804069557,0.1396627500653267,0.5429945588111877,0.007775920717055366,0.015106945180377805,0.19634822010993958
1.0,identity,90,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,random_delta_matched,90,32,0.09479167064030965,0.013020853667209538,0.19373374522353184,0.5,0.0,0.01321151796534347,0.005813113413751125,0.033784890174865724,0.052367940172552994,0.08180861920118332,0.07016900655580685,0.15552783077582716,0.40993955731391907
1.0,semantic,90,32,0.5753472129503886,0.35643310717617466,0.8105713197650999,0.8333333333333334,0.0,0.006552542856014851,0.0024008755572140217,0.019261958263814452,0.027158148027956484,0.07770849764347076,0.0601052015499186,0.12303322916850447,0.39269644021987915
1.0,unrelated_semantic,90,32,0.0690972367922465,-0.023950209282338614,0.189001448638737,0.5111111111111111,0.0,0.0063916954147215516,0.0024008755572140217,0.019261958263814452,0.027158148027956484,0.05557963252067566,0.05994397239054605,0.12303322916850447,0.39269644021987915
2.0,identity,90,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,random_delta_matched,90,32,0.6065972314940559,0.32364502747853596,0.9407633470371366,0.6111111111111112,0.0,0.07443084935398979,0.02469109371304512,0.164746378362179,0.26886787861585615,0.9950536489486694,0.12921826525255004,0.2721439128741622,0.7853928804397583
2.0,semantic,90,32,-10.308547528584798,-14.309687063532571,-5.324635149165992,0.2222222222222222,0.0,21.662006806002722,21.279627799987793,32.2701904296875,34.559547424316406,41.69279479980469,2.0252549279869223,2.559619201719761,3.9512243270874023
2.0,unrelated_semantic,90,32,-0.6487981478373209,-3.0821283726642523,2.394731325159469,0.3888888888888889,0.0,21.64541831943724,21.279627799987793,31.41570014953614,34.559547424316406,41.69279479980469,2.016162589075975,2.559619201719761,3.9512243270874023
